epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.764,2.27823,3.50605,2.48369,0.00361,0.34641,0.00659,0.00137,2.86043,4.2061,3.10658,9.83051e-05,9.83051e-05,0.0804373
2,415.883,2.21311,3.19985,2.4732,0.00309,0.28976,0.00367,0.00087,3.0774,4.32229,3.1306,0.000196342,0.000196342,0.0605353
3,615.367,2.13155,3.18587,2.3673,0.0049,0.05664,0.00539,0.00143,3.12016,6.66793,3.27451,0.000292399,0.000292399,0.0406314
4,821.022,2.02829,3.13624,2.30197,0.00447,0.42048,0.00618,0.00144,3.0601,4.76176,3.19747,0.000386475,0.000386475,0.0207255
5,1013.55,2.12427,3.16415,2.38996,0.00775,0.13508,0.00966,0.00187,2.93904,4.68551,3.10587,0.000478572,0.000478572,0.000817555
6,1206.14,2.075,3.07331,2.32463,0.69379,0.03704,0.01784,0.00514,2.80389,4.52102,3.14431,0.00047525,0.00047525,0.00047525
7,1400.46,2.03863,3.10903,2.29811,0.01939,0.03704,0.0108,0.00387,2.76894,4.38843,3.12591,0.0004703,0.0004703,0.0004703
8,1608.59,1.96102,3.06813,2.26834,0.00356,0.44009,0.00559,0.0017,2.77245,4.59052,3.06946,0.00046535,0.00046535,0.00046535
9,1789.63,1.92162,3.0188,2.22128,0.02037,0.09368,0.01181,0.00369,2.74926,4.35769,3.01191,0.0004604,0.0004604,0.0004604
10,1968.58,1.99069,3.06036,2.27194,0.37763,0.03704,0.01867,0.00759,2.86759,4.23862,2.9816,0.00045545,0.00045545,0.00045545
11,2180.69,1.95049,2.95926,2.25286,0.3528,0.03704,0.01268,0.00401,2.87655,3.85702,2.99733,0.0004505,0.0004505,0.0004505
12,2381.64,1.87392,2.97886,2.24668,0.00409,0.47712,0.00837,0.00254,2.83582,3.89262,3.06983,0.00044555,0.00044555,0.00044555
13,2587.54,1.95953,3.00128,2.28573,0.01142,0.11547,0.00923,0.0023,2.97722,4.13086,3.11271,0.0004406,0.0004406,0.0004406
14,2780.81,1.88736,2.9983,2.24262,0.02057,0.07625,0.00855,0.00236,2.99369,4.52564,3.16825,0.00043565,0.00043565,0.00043565
15,2964.74,1.89498,3.00891,2.26626,0.01244,0.09586,0.00579,0.00175,2.98532,4.40753,3.12846,0.0004307,0.0004307,0.0004307
16,3163.44,1.87038,2.94462,2.22229,0.00373,0.07843,0.00447,0.00151,3.10906,4.77179,3.19043,0.00042575,0.00042575,0.00042575
17,3387.01,1.92664,2.93298,2.25619,0.34535,0.05664,0.0062,0.00203,2.93962,5.34053,3.08027,0.0004208,0.0004208,0.0004208
18,3615.35,1.83749,2.90941,2.22196,0.74699,0.03704,0.02247,0.01196,2.67012,4.62001,2.95781,0.00041585,0.00041585,0.00041585
19,3849.83,1.8951,2.85607,2.25633,0.8392,0.07407,0.06859,0.02782,2.71627,4.14144,2.97752,0.0004109,0.0004109,0.0004109
20,4071.53,1.89782,2.9344,2.23163,0.8537,0.07407,0.06955,0.02808,2.7678,3.85486,2.9853,0.00040595,0.00040595,0.00040595
21,4302.37,1.83316,2.89959,2.21954,1,0.07345,0.08068,0.03146,2.91148,3.72083,3.06246,0.000401,0.000401,0.000401
22,4531.23,1.84209,2.88961,2.21329,0.43876,0.05341,0.05958,0.01742,2.99033,3.68401,3.08669,0.00039605,0.00039605,0.00039605
23,4766.31,1.87196,2.89953,2.24005,0.01582,0.07407,0.01674,0.00401,3.16828,3.94201,3.20542,0.0003911,0.0003911,0.0003911
24,5001.34,1.8848,2.75788,2.22032,0.36566,0.03704,0.0136,0.00339,3.25109,4.20625,3.36039,0.00038615,0.00038615,0.00038615
